id,company,created_at,type,num_commits
1346,Rackspace,04/09/11,USR,2100
1348,"Rackspace, Inc.",03/12/12,USR,288
1354,Tivix,04/12/09,USR,123
1363,Xmonster Inc.,10/26/10,USR,1218
1364,quantified motion,05/18/09,USR,2422
1365,Matangle AB,07/29/09,USR,471
1368,Cyberpunk,07/20/09,USR,5190
1371,Opternative,12/23/11,USR,636
1372,@WeaveUp / Carolina Hurricanes,02/26/08,USR,568
1385,Avolt.net,03/20/09,USR,855
1387,Clever Clever Consulting Partners,06/09/10,USR,111
1396,Biapy,03/01/12,USR,250
1397,The Bakery,11/22/10,USR,2112
1411,CatЯun,07/10/09,USR,291
1412,Douban,07/03/10,USR,792
1419,Bilkan,08/19/10,USR,231
1423,@chequeado ,04/02/10,USR,231
1424,"Widen Enterprises, Inc.",10/30/09,USR,2372
1425,Avantgarde Labs GmbH,02/23/11,USR,2963
1432,Soylent,11/22/11,USR,326
1439,GoodRx,04/05/10,USR,1393
1442,Media Temple,09/29/09,USR,724
1445,Feel Train,05/06/10,USR,1322
1455,"kashuo.com, Architect",04/14/11,USR,261
1456,ProPublica + Tabula + Tor iOS,02/09/09,USR,1900
1463,Chef,06/03/08,USR,9900
1467,University of Illinois at Urbana-Champaign,12/03/11,USR,173
1472,Markes International,12/06/10,USR,170
1475,"Rachio, Inc.",01/15/09,USR,692
1477,University of Waterloo,05/08/09,USR,2673
1489,Yahoo!,07/25/10,USR,289
1491,AdRise Inc.,11/09/10,USR,1076
1494,Acquia,02/12/09,USR,380
1497,Discord,04/03/09,USR,190
1498,Agora Games,03/21/08,USR,298
1501,Leadfeeder,02/08/12,USR,249
1505,Gecko Designs,03/06/11,USR,2336
1507,Facebook,01/15/09,USR,663
1508,@Bareo @stripe ,09/18/10,USR,541
1510,Appaloosa,10/11/11,USR,733
1517,Jaguar Land Rover Open Source Technology Center (JLR OSTC),01/18/10,USR,1154
1519,BIREME/PAHO/WHO,02/11/13,ORG,141
1526,Chorally,04/28/09,USR,453
1528,Rockfield Systems,07/30/08,USR,206
1529,Develer srl,09/03/09,USR,790
1531,@razorfish,01/10/09,USR,387
1532,CRANE | WEST,09/03/08,USR,180
1534,@spreedly ,01/11/09,USR,830
1535,Sun Yat-Sen University,11/05/11,USR,444
1538,thoughtbot,02/13/09,USR,2458
1539,OpenTable,05/23/09,USR,403
1541,PokéCheats,06/22/12,USR,1303
1542,DevNet,09/19/08,USR,393
1544,@Briteskies-LLC,10/27/09,USR,1357
1545,University of Toronto,07/01/10,USR,665
1546,Two Kings,02/03/12,USR,449
1549,Adam George - Freelance Software Developer,03/31/11,USR,371
1550,aYaline,04/25/09,USR,2522
1552,"Treasury Board Secretariat, Government of Canada",01/13/12,USR,8646
1554,Statistics Canada,09/29/11,USR,7923
1556,GitHub,12/26/08,USR,4381
1557,GitHub,12/26/08,USR,350
1561,GitHub,05/26/08,USR,2527
1563,GitHub,01/14/08,USR,7853
1564,2ndscale,02/19/08,USR,3464
1565,GitHub,02/03/08,USR,12030
1567,Salesforce,01/29/08,USR,3747
1570,@github ,10/20/07,USR,5065
1575,"Apple, Inc",01/04/09,USR,52893
1577,@Pobox,10/23/08,USR,12271
1579,Juliand Digital,04/06/08,USR,1090
1583,Checkdomain,09/12/10,USR,194
1586,Zend Technologies,09/23/08,USR,68151
1587,SilverDoor,12/03/10,USR,719
1588,Formerly of Mordor,08/06/08,USR,1575
1592,@polderknowledge ,12/03/10,USR,2134
1593,"CarSaver, Inc.",01/12/09,USR,422
1595,Plaid,02/26/08,USR,658
1599,outer/edge,05/08/12,USR,1096
1601,Xenith Networks,02/24/08,USR,290
1604,Chegg Inc,07/04/10,USR,336
1607,CareZone,04/06/09,USR,427
1611,Mobify,10/14/08,USR,547
1613,Stripe,01/23/11,USR,275
1616,Shopify,10/20/10,USR,848
1620,Roave.com,04/07/08,USR,3751
1622,Lizard Brain UG,04/13/11,USR,461
1623,Pixel Cookers,01/14/11,USR,381
1625,Freelance PHP developer,12/17/10,USR,2903
1626,Kakaku.com,03/03/12,USR,186
1628,Marco Pivetta Software Development,11/17/09,USR,25123
1633,Dropbox,07/25/10,USR,935
1634,Machinalis,04/03/09,USR,570
1636,MongoDB,04/15/10,USR,8869
1637,@HackerspaceKRK ,07/13/10,USR,1137
1640,Chargifi,05/17/11,USR,3702
1643,TEA - The Ebook Alternative,03/25/09,USR,3709
1646,DonkeyCode,03/04/11,USR,2102
1647,@owneriq-dev ,03/16/12,USR,3262
1649,Mobify,04/15/11,USR,453
1661,Redaxmedia,06/10/12,USR,6538
1664,Telefonica I+D,05/09/12,USR,4011
1665,Wargaming.net,02/09/12,USR,1356
1666,Mobify,05/15/12,USR,284
1669,iProov,07/16/12,USR,6709
1672,smart pixel media,02/18/10,USR,1215
1675,Mobify,11/21/11,USR,498
1689,Shopify,10/07/09,USR,257
1695,Jun Group,11/17/10,USR,581
1700,http://twitter.com/tavisrudd/,04/04/10,USR,840
1702,Bruce Mau Design,09/18/11,USR,230
1703,NodeSource,01/21/09,USR,1467
1706,Google,05/15/10,USR,1566
1707,"Burnkit Creative, Inc.",10/22/11,USR,234
1708,FINN.no,06/23/08,USR,743
1709,Webmans JP Self Employed,07/07/10,USR,104
1711,Pokémon Company,06/24/12,USR,376
1713,Mozilla Foundation,09/16/10,USR,3694
1714,FileRight,12/05/08,USR,575
1721,GNT Vietnam,01/16/12,USR,467
